NCBI_GeneID	NCBI_UnigeneID	NCBI_RefSeqID	Affymetrix_probesetID	organism
1	Hs.529161	NM_130786		human
1		NM_130786		human
2	Hs.212838	NM_000014	217757_at	human
9	Hs.591847	NM_000662	214440_at	human
9	Hs.591847	NM_001160170	214440_at	human
9	Hs.591847	NM_001160171	214440_at	human
9	Hs.591847	NM_001160172	214440_at	human
9	Hs.591847	NM_001160173	214440_at	human
9	Hs.591847	NM_001160174	214440_at	human
9	Hs.591847	NM_001160175	214440_at	human
9	Hs.591847	NM_001160176	214440_at	human
9	Hs.591847	NM_001160179	214440_at	human
10	Hs.20000	NM_000015	206797_at	human
12	Hs.534293	NM_001085000		human
12		NM_001085000		human
13	Hs.506908	NM_001086000		human
14	Hs.83347	NM_001087000		human
15	Hs.431417	NM_001088001		human
15	Hs.431417	NM_001166579	207225_at	human
16	Hs.315137	NM_001605	201000_at	human
18	Hs.336768	NM_000663	206527_at	human
18	Hs.336768	NM_000663	209459_s_at	human
18	Hs.336768	NM_000663	209460_at	human
18	Hs.336768	NM_001127448	206527_at	human
18	Hs.336768	NM_001127448	209459_s_at	human
18	Hs.336768	NM_001127448	209460_at	human
18	Hs.336768	NM_020686	206527_at	human
18	Hs.336768	NM_020686	209459_s_at	human
18	Hs.336768	NM_020686	209460_at	human
19		NM_005502	203504_s_at	human
19		NM_005502	203505_at	human
20	Hs.421202	NM_001606	210100_s_at	human
20	Hs.421202	NM_001606	212772_s_at	human
20	Hs.421202	NM_212533	210100_s_at	human
20	Hs.421202	NM_212533	212772_s_at	human
21	Hs.266308	NM_001089001		human
22	Hs.370480	NM_004299	209620_s_at	human
23		NM_001025091	200045_at	human
23		NM_001090000		human
24	Hs.416707	NM_000350	210082_at	human
25	Hs.431048	NM_005157	202123_s_at	human
25	Hs.431048	NM_007313	202123_s_at	human
26	Hs.647097	NM_001091001		human
27	Hs.159472	NM_001100108		human
27	Hs.159472	NM_001136000	206411_s_at	human
27	Hs.159472	NM_001136001		human
27	Hs.159472	NM_001168236	206411_s_at	human
27	Hs.159472	NM_001168237	206411_s_at	human
27	Hs.159472	NM_001168238	206411_s_at	human
27	Hs.159472	NM_001168239	206411_s_at	human
27	Hs.159472	NM_005158	206411_s_at	human
27	Hs.159472	NM_007314	206411_s_at	human
28		NM_020469		human
29	Hs.159306	NM_001092000		human
29	Hs.159306	NM_001159746	212895_s_at	human
29	Hs.159306	NM_001159746	214671_s_at	human
29	Hs.159306	NM_021962	212895_s_at	human
29	Hs.159306	NM_021962	214671_s_at	human
30	Hs.643487	NM_001130410	202025_x_at	human
30	Hs.643487	NM_001130410	214274_s_at	human
30	Hs.643487	NM_001607	202025_x_at	human
30	Hs.643487	NM_001607	214274_s_at	human
30	Hs.643487	NR_024024		human
31	Hs.160556	NM_198834	212186_at	human
31	Hs.160556	NM_198836	212186_at	human
31	Hs.160556	NM_198837	212186_at	human
31	Hs.160556	NM_198838	212186_at	human
31	Hs.160556	NM_198839	212186_at	human
32	Hs.234898	NM_001093000		human
33	Hs.471277	NM_001608	206068_s_at	human
33	Hs.471277	NM_001608	206069_s_at	human
34	Hs.445040	NM_000016	202502_at	human
34	Hs.445040	NM_001127328	202502_at	human
35	Hs.507076	NM_000017	202366_at	human
36	Hs.81934	NM_001609	205355_at	human
37	Hs.437178	NM_000018	200710_at	human
37	Hs.437178	NM_001033859	200710_at	human
37	Hs.463928	NM_000018	200710_at	human
37	Hs.463928	NM_001033859	200710_at	human
38	Hs.232375	NM_000019	205412_at	human
39	Hs.571037	NM_005891	209608_s_at	human
40	Hs.368417	NM_001094000		human
40	Hs.368417	NM_183377	206690_at	human
41	Hs.274361	NM_001095000		human
41	Hs.274361	NM_020039	205156_s_at	human
41	Hs.274361	NM_020039	37953_s_at	human
41	Hs.647113	NM_001095000		human
41	Hs.647113	NM_020039	205156_s_at	human
41	Hs.647113	NM_020039	37953_s_at	human
43	Hs.154495	NM_000665	205377_s_at	human
43	Hs.154495	NM_000665	205378_s_at	human
43	Hs.154495	NM_015831	205377_s_at	human
43	Hs.154495	NM_015831	205378_s_at	human
47	Hs.387567	NM_001096000		human
47	Hs.387567	NM_198830	201127_s_at	human
47	Hs.387567	NM_198830	201128_s_at	human
47	Hs.387567	NM_198830	210337_s_at	human
48	Hs.567229	NM_002197	207071_s_at	human
49	Hs.370870	NM_001097000		human
50	Hs.643610	NM_001098000		human
50		NM_001098000		human
51	Hs.464137	NM_004035	209600_s_at	human
51	Hs.464137	NM_004035	213501_at	human
51	Hs.464137	NM_007292	209600_s_at	human
51	Hs.464137	NM_007292	213501_at	human
52	Hs.558296	NM_001040649	201629_s_at	human
52	Hs.558296	NM_004300	201629_s_at	human
52	Hs.558296	NM_004300	201630_s_at	human
52	Hs.558296	NM_004300	215227_x_at	human
52	Hs.558296	NM_007099	201630_s_at	human
52	Hs.558296	NM_007099	215227_x_at	human
52	Hs.558296	NR_024080		human
53	Hs.532492	NM_001131064		human
53	Hs.532492	NM_001610	202767_at	human
54	Hs.12114	NM_001111034	204638_at	human
54	Hs.12114	NM_001111035	204638_at	human
54	Hs.12114	NM_001111036	204638_at	human
54	Hs.12114	NM_001611	204638_at	human
55	Hs.433060	NM_001099000		human
55	Hs.433060	NM_001134194		human
56	Hs.169222	NM_001612	206776_x_at	human
56	Hs.169222	NM_001612	207969_x_at	human
56	Hs.169222	NM_001612	207973_x_at	human
56	Hs.169222	NM_001612	207990_x_at	human
56	Hs.169222	NM_001612	207991_x_at	human
56	Hs.169222	NM_001612	208013_s_at	human
56	Hs.169222	NM_020069	206776_x_at	human
56	Hs.169222	NM_020069	207969_x_at	human
56	Hs.169222	NM_020069	207973_x_at	human
56	Hs.169222	NM_020069	207990_x_at	human
56	Hs.169222	NM_020069	207991_x_at	human
56	Hs.169222	NM_020069	208013_s_at	human
56	Hs.169222	NM_020107	206776_x_at	human
56	Hs.169222	NM_020107	207969_x_at	human
56	Hs.169222	NM_020107	207973_x_at	human
56	Hs.169222	NM_020107	207990_x_at	human
56	Hs.169222	NM_020107	207991_x_at	human
56	Hs.169222	NM_020107	208013_s_at	human
56	Hs.169222	NM_020108	206776_x_at	human
56	Hs.169222	NM_020108	207969_x_at	human
56	Hs.169222	NM_020108	207973_x_at	human
56	Hs.169222	NM_020108	207990_x_at	human
56	Hs.169222	NM_020108	207991_x_at	human
56	Hs.169222	NM_020108	208013_s_at	human
56	Hs.169222	NM_020109		human
56	Hs.169222	NM_020110		human
56	Hs.169222	NM_020111		human
56	Hs.169222	NM_020113		human
56	Hs.169222	NM_020115		human
56	Hs.596575	NM_001612	206776_x_at	human
56	Hs.596575	NM_001612	207969_x_at	human
56	Hs.596575	NM_001612	207973_x_at	human
56	Hs.596575	NM_001612	207990_x_at	human
56	Hs.596575	NM_001612	207991_x_at	human
56	Hs.596575	NM_001612	208013_s_at	human
56	Hs.596575	NM_020069	206776_x_at	human
56	Hs.596575	NM_020069	207969_x_at	human
56	Hs.596575	NM_020069	207973_x_at	human
56	Hs.596575	NM_020069	207990_x_at	human
56	Hs.596575	NM_020069	207991_x_at	human
56	Hs.596575	NM_020069	208013_s_at	human
56	Hs.596575	NM_020107	206776_x_at	human
56	Hs.596575	NM_020107	207969_x_at	human
56	Hs.596575	NM_020107	207973_x_at	human
56	Hs.596575	NM_020107	207990_x_at	human
56	Hs.596575	NM_020107	207991_x_at	human
56	Hs.596575	NM_020107	208013_s_at	human
56	Hs.596575	NM_020108	206776_x_at	human
56	Hs.596575	NM_020108	207969_x_at	human
56	Hs.596575	NM_020108	207973_x_at	human
56	Hs.596575	NM_020108	207990_x_at	human
56	Hs.596575	NM_020108	207991_x_at	human
56	Hs.596575	NM_020108	208013_s_at	human
56	Hs.596575	NM_020109		human
56	Hs.596575	NM_020110		human
56	Hs.596575	NM_020111		human
56	Hs.596575	NM_020113		human
56	Hs.596575	NM_020115		human
58	Hs.128803	NM_001100000		human
59	Hs.500483	NM_001141945	200974_at	human
59	Hs.500483	NM_001613	200974_at	human
60	Hs.520640	NM_001101000		human
60		NM_001101000		human
70	Hs.118127	NM_005159	205132_at	human
71	Hs.514581	NM_001614	201550_x_at	human
71	Hs.514581	NM_001614	211970_x_at	human
71	Hs.514581	NM_001614	211983_x_at	human
71	Hs.514581	NM_001614	211995_x_at	human
71	Hs.514581	NM_001614	212363_x_at	human
71	Hs.514581	NM_001614	212988_x_at	human
71	Hs.514581	NM_001614	213214_x_at	human
71	Hs.514581	NM_001614	221607_x_at	human
72	Hs.516105	NM_001615	202274_at	human
81	Hs.270291	NM_004924	200601_at	human
86	Hs.435326	NM_004301	202666_s_at	human
86	Hs.435326	NM_177989	202666_s_at	human
86	Hs.435326	NM_178042	202666_s_at	human
87	Hs.509765	NM_001102000		human
87	Hs.509765	NM_001130004	208636_at	human
