refexo:v01_40	"609"^^xsd:integer
refexo:v02_40	"688"^^xsd:integer
refexo:v03_40	"545"^^xsd:integer
refexo:v04_40	"381"^^xsd:integer
refexo:v06_40	"437"^^xsd:integer
refexo:v07_40	"457"^^xsd:integer
refexo:v10_40	"136"^^xsd:integer
refexo:v11_40	"207"^^xsd:integer
refexo:v12_40	"351"^^xsd:integer
refexo:v14_40	"494"^^xsd:integer
refexo:v15_40	"1219"^^xsd:integer
refexo:v16_40	"821"^^xsd:integer
refexo:v17_40	"112"^^xsd:integer
refexo:v19_40	"343"^^xsd:integer
refexo:v20_40	"127"^^xsd:integer
refexo:v21_40	"695"^^xsd:integer
refexo:v22_40	"438"^^xsd:integer
refexo:v23_40	"184"^^xsd:integer
refexo:v24_40	"1955"^^xsd:integer
refexo:v25_40	"205"^^xsd:integer
refexo:v26_40	"719"^^xsd:integer
refexo:v27_40	"546"^^xsd:integer
refexo:v28_40	"137"^^xsd:integer
refexo:v29_40	"256"^^xsd:integer
refexo:v30_40	"304"^^xsd:integer
refexo:v31_40	"699"^^xsd:integer
refexo:v32_40	"384"^^xsd:integer
refexo:v34_40	"467"^^xsd:integer
refexo:v35_40	"452"^^xsd:integer
refexo:v36_40	"218"^^xsd:integer
refexo:v37_40	"264"^^xsd:integer
refexo:v38_40	"1029"^^xsd:integer
refexo:v39_40	"156"^^xsd:integer
refexo:v40_40	"355"^^xsd:integer
